MD,DEVI,DTCO,DTSM_FAST,DTSM_SLOW,RHOB_model,GR_Normalized
ft , dega, us/ft , us/ft , us/ft , g/cc ,None
Measured Depth ,Borehole Deviation ,Compressional Slowness ,Fast Shear Slowness ,Slow Shear Slowness ,Bulk density - modeled ,Normalized Gamma Ray  
6635.5,72.94714,75.3867,122.817,178.6884,2.279492,0.61552763
6636,72.98032,77.81,124.889,177.8529,2.263882,0.57719696
6636.5,73.01349,80.1251,126.4814,176.8891,2.248082,0.5152875
6637,73.04667,81.41496,127.1132,175.7858,2.239596,0.4599475
6637.5,73.07984,81.99671,127.5591,174.7684,2.238622,0.40629536
6638,73.11302,82.99751,128.9259,174.3794,2.237668,0.39257106
6638.5,73.1462,84.88954,131.5334,175.8136,2.230033,0.41441658
6639,73.17938,86.75656,134.4033,179.7696,2.217532,0.45515507
6639.5,73.21256,87.16848,135.7492,183.7603,2.211041,0.5181025
6640,73.24574,85.6491,134.465,183.2884,2.22073,0.57210785
6640.5,73.27893,82.8996,131.605,177.8131,2.247599,0.6221835
6641,73.31211,79.93787,129.6554,171.801,2.28492,0.63526934
6641.5,73.3453,77.57594,129.8007,168.6337,2.320431,0.6450164
6642,73.37848,76.34455,130.9453,167.9809,2.341605,0.6517603
6642.5,73.41167,76.39029,131.2011,168.4601,2.341246,0.6586425
6643,73.44485,77.45287,129.7447,169.3746,2.319683,0.65946996
6643.5,73.47803,78.97323,127.4534,170.509,2.285797,0.66304636
6644,73.51122,80.30722,125.8175,171.8148,2.255003,0.6582426
6644.5,73.54442,81.07793,125.5831,173.3176,2.239318,0.6708002
6645,73.57761,81.40388,126.7463,175.1117,2.238902,0.67447555
6645.5,73.61079,81.76434,129.3728,177.312,2.247286,0.6834824
6646,73.64398,82.61479,133.6046,179.9867,2.25781,0.67967606
6646.5,73.67718,84.01929,138.8655,182.9289,2.265232,0.695292
6647,73.71037,85.58037,143.9518,185.2532,2.269448,0.7226928
6647.5,73.74356,86.67931,147.9411,185.9089,2.275291,0.7407912
6648,73.77676,86.89287,150.3113,185.0258,2.284819,0.7547701
6648.5,73.80995,86.3413,150.6306,183.9004,2.293259,0.75024736
6649,73.84315,85.52544,148.8739,183.6984,2.294219,0.72761375
6649.5,73.87634,84.85265,145.7398,184.5919,2.285813,0.67036617
6650,73.90954,84.38243,142.3452,185.6971,2.272771,0.6184038
6650.5,73.94273,83.94016,139.6691,185.8092,2.263776,0.6129399
6651,73.97593,83.41364,138.0651,184.6286,2.263519,0.6365658
6651.5,74.00913,82.91692,137.1343,183.0746,2.267344,0.6504212
6652,74.04233,82.65033,136.2683,182.1921,2.267518,0.6533571
6652.5,74.07553,82.61617,135.2758,182.2276,2.26223,0.64980364
6653,74.10873,82.39831,134.3406,182.9768,2.257453,0.64896774
6653.5,74.14194,81.54826,133.5229,184.2653,2.259317,0.6354419
6654,74.17513,80.29427,132.4274,185.6337,2.264404,0.61461896
6654.5,74.20834,79.37605,130.5514,186.1898,2.262728,0.6054063
6655,74.24155,79.21545,127.9648,185.3586,2.249328,0.5949264
6655.5,74.27475,79.6984,125.2493,183.587,2.226705,0.591645
6656,74.30795,80.39651,122.92,181.9786,2.201062,0.58494335
6656.5,74.34116,80.80451,121.2785,181.3508,2.180837,0.5896364
6657,74.37437,80.6162,120.4253,181.7549,2.173538,0.5911756
6657.5,74.40757,79.94692,120.2024,182.5025,2.179429,0.5915753
6658,74.44078,79.20819,120.4825,182.429,2.194127,0.56726056
6658.5,74.47399,78.53522,121.2143,180.7237,2.216217,0.5700308
6659,74.5072,77.69888,121.8306,178.0069,2.241181,0.57160664
6659.5,74.54041,76.82799,121.4798,176.2159,2.255366,0.5737593
6660,74.57362,76.45163,120.3385,176.8348,2.249654,0.55830616
6660.5,74.60683,76.59789,119.7069,179.1786,2.235721,0.54803663
6661,74.64005,76.50305,120.4294,180.8635,2.239115,0.5773379
6661.5,74.67326,75.60758,121.3816,180.1612,2.261955,0.6084503
6662,74.70647,74.39863,120.2588,177.3126,2.277504,0.6313377
6662.5,74.73969,73.856,116.6292,173.4679,2.265273,0.6322594
6663,74.7729,74.3185,112.9245,169.3501,2.233804,0.6204018
6663.5,74.80611,75.17838,111.6272,165.287,2.218663,0.6183564
6664,74.83933,75.54453,112.8623,161.9629,2.238455,0.60829264
6664.5,74.87255,75.07108,115.105,160.5232,2.272421,0.59975845
6665,74.90577,74.15917,117.2149,161.5238,2.299722,0.59597385
6665.5,74.93899,73.46728,119.1825,164.194,2.316119,0.59950525
6666,74.97221,73.27432,121.2205,167.1096,2.324985,0.6014665
6666.5,75.00542,73.21315,123.1375,169.0515,2.333206,0.60085934
6667,75.03864,72.64359,124.6682,169.3637,2.348678,0.59840363
6667.5,75.07187,71.47931,125.4294,168.2149,2.36978,0.60558885
6668,75.10509,70.54263,124.8807,166.4681,2.382283,0.5912373
6668.5,75.13831,70.70951,123.0959,165.0583,2.373932,0.58359724
6669,75.17153,71.83357,120.8195,164.4769,2.347734,0.56139827
6669.5,75.20476,72.95584,118.6136,164.7128,2.317533,0.5683968
6670,75.23798,73.32965,116.8299,165.5392,2.296553,0.5567379
6670.5,75.27121,73.0388,116.0834,166.8528,2.290982,0.54972917
6671,75.30443,72.87428,117.1822,168.7395,2.29715,0.5335922
6671.5,75.33766,73.57388,120.8694,171.1634,2.308553,0.5371577
6672,75.37089,75.02696,126.9217,173.7014,2.322221,0.5462338
6672.5,75.40411,76.43987,132.8287,175.7426,2.332529,0.5505046
6673,75.43734,77.22248,134.9742,176.8967,2.331665,0.54721284
6673.5,75.47057,77.35512,132.3335,177.1725,2.316609,0.5319023
6674,75.5038,77.16075,127.4971,176.8805,2.292062,0.5343674
6674.5,75.53703,76.98723,123.6978,176.421,2.269719,0.53302085
6675,75.57026,77.02237,122.0641,176.1179,2.257587,0.53387004
6675.5,75.60349,77.35524,121.8811,176.1446,2.251428,0.52627736
6676,75.63673,78.00813,122.3209,176.5197,2.244922,0.5287198
6676.5,75.66996,78.76114,123.2325,177.2063,2.240113,0.5411624
6677,75.70319,79.20466,124.7027,178.2014,2.24312,0.54381025
6677.5,75.73643,79.12776,126.4575,179.4484,2.254016,0.53973407
6678,75.76966,78.84768,127.7634,180.6905,2.263662,0.5307175
6678.5,75.80289,78.9433,127.8665,181.4721,2.261284,0.5289768
6679,75.83613,79.44536,126.7005,181.3135,2.246982,0.52485174
6679.5,75.86937,79.65614,125.1976,179.9653,2.236282,0.518477
6680,75.9026,78.89893,124.5484,177.644,2.247475,0.5103145
6680.5,75.93584,77.14803,125.1394,175.074,2.281189,0.50282735
6681,75.96908,75.1742,126.4222,173.0721,2.318923,0.5184512
6681.5,76.00232,74.10752,127.5186,171.9562,2.340632,0.5213194
6682,76.03556,74.52936,127.7949,171.506,2.338052,0.5272315
6682.5,76.0688,76.11594,127.2297,171.3858,2.316162,0.5124885
6683,76.10204,78.07602,126.4179,171.386,2.287544,0.51317424
6683.5,76.13528,79.63251,126.063,171.4257,2.266122,0.51789504
6684,76.16853,80.36743,126.4085,171.5372,2.259304,0.5339967
6684.5,76.20177,80.37851,127.1792,171.8181,2.263757,0.5460488
6685,76.23501,80.05106,127.9409,172.3497,2.271313,0.55425704
6685.5,76.26826,79.69673,128.3696,173.1638,2.276125,0.5537043
6686,76.3015,79.53088,128.2613,174.2313,2.27462,0.5478734
6686.5,76.33475,79.73457,127.5495,175.3749,2.264474,0.5389942
6687,76.36799,80.20334,126.3707,176.2221,2.248076,0.52828234
6687.5,76.40124,80.44322,124.9681,176.3838,2.233835,0.5151698
6688,76.43449,79.97458,123.5451,175.7467,2.230316,0.5064429
6688.5,76.46773,78.69058,122.2093,174.5872,2.239981,0.49227485
6689,76.50098,76.82663,120.9454,173.326,2.258863,0.48714322
6689.5,76.53423,74.76985,119.6668,172.1553,2.280615,0.4832815
6690,76.56747,72.86845,118.3596,170.9602,2.300626,0.4828436
6690.5,76.60072,71.38406,117.0976,169.4975,2.316171,0.4655968
6691,76.63398,70.51292,115.9132,167.5507,2.324838,0.43995288
6691.5,76.66723,70.38746,114.8398,165.0766,2.324799,0.4213414
6692,76.70048,70.9703,114.0471,162.2423,2.317598,0.40589446
