MD,DTCO,DTSM_FAST,DTSM_SLOW,RHOB,GR_Normalized
ft,US/F,US/F,US/F,G/C3,None
   6553.0,53.3039,92.0943,92.0943,2.6795,0.15930587
   6553.5,53.7118,92.0448,92.0448,2.6833,0.15545484
   6554.0,54.3082,91.9174,91.9174,2.6864,0.15695262
   6554.5,54.7514,91.7987,91.7987,2.6867,0.16349196
   6555.0,54.7514,91.7607,91.7607,2.6813,0.16341855
   6555.5,54.1397,91.7999,91.7999,2.6725,0.14857332
   6556.0,53.6138,91.8254,91.8254,2.6629,0.12461875
   6556.5,52.5591,91.6873,91.6873,2.6597,0.10470073
   6557.0,52.0333,91.3834,91.3834,2.6722,0.095038325
   6557.5,51.6729,91.0744,91.0744,2.6912,0.09413105
   6558.0,51.6729,90.9167,90.9167,2.7012,0.097796544
   6558.5,52.2813,90.9574,90.9574,2.6983,0.10086302
   6559.0,52.8797,90.9852,90.9852,2.6839,0.10195395
   6559.5,52.8797,90.7448,90.7448,2.6688,0.10393676
   6560.0,52.8896,90.2636,90.2636,2.6515,0.106811464
   6560.5,52.4629,89.8156,89.8156,2.6452,0.10567561
   6561.0,52.0904,89.6061,89.6061,2.649,0.09896257
   6561.5,52.1022,89.515,89.515,2.6688,0.092969395
   6562.0,52.0992,89.2827,89.2827,2.6833,0.093978375
   6562.5,51.7704,88.7755,88.7755,2.6899,0.09837747
   6563.0,51.6061,88.1674,88.1674,2.6829,0.099003956
   6563.5,51.4299,87.7862,87.7862,2.683,0.09468432
   6564.0,51.4863,87.725,87.725,2.688,0.089539975
   6564.5,52.5001,87.8855,87.8855,2.6779,0.086438976
   6565.0,52.5001,88.0715,88.0715,2.6632,0.08478916
   6565.5,52.1035,88.1146,88.1146,2.6511,0.08488837
   6566.0,52.0114,88.0741,88.0741,2.6622,0.08707087
   6566.5,52.0179,88.0766,88.0766,2.6879,0.08976669
   6567.0,51.9275,88.126,88.126,2.6974,0.08982888
   6567.5,51.8186,88.1691,88.1691,2.6977,0.08595872
   6568.0,51.8186,88.1959,88.1959,2.6903,0.0804404
   6568.5,51.7631,88.207,88.207,2.6905,0.076850615
   6569.0,51.3188,88.1695,88.1695,2.6948,0.07701597
   6569.5,50.9147,88.0519,88.0519,2.697,0.080175415
   6570.0,50.5888,87.8948,87.8948,2.6913,0.08509783
   6570.5,50.5674,87.808,87.808,2.6775,0.09001483
   6571.0,50.628,87.8571,87.8571,2.6636,0.092729375
   6571.5,51.0525,88.0224,88.0224,2.6584,0.09322211
   6572.0,51.3669,88.2256,88.2256,2.6605,0.09256173
   6572.5,51.4747,88.365,88.365,2.6648,0.09105043
   6573.0,51.4747,88.3922,88.3922,2.6764,0.09009345
   6573.5,51.248,88.3395,88.3395,2.6788,0.09356468
   6574.0,51.0262,88.2738,88.2738,2.6821,0.10594766
   6574.5,51.0532,88.2371,88.2371,2.677,0.1344043
   6575.0,51.8139,88.2123,88.2123,2.6793,0.17760652
   6575.5,52.531,88.1895,88.1895,2.6762,0.20834838
   6576.0,52.7997,88.1563,88.1563,2.6806,0.19674413
   6576.5,52.7997,88.0185,88.0185,2.6805,0.14813112
   6577.0,51.5519,87.8026,87.8026,2.67,0.10091709
   6577.5,50.9831,87.6765,87.6765,2.6586,0.080168135
   6578.0,50.7534,87.6704,87.6704,2.6553,0.07884945
   6578.5,50.7534,87.7003,87.7003,2.6651,0.083341725
   6579.0,50.8202,87.704,87.704,2.6925,0.086130105
   6579.5,51.9502,87.6437,87.6437,2.6964,0.08500548
   6580.0,51.9502,87.5539,87.5539,2.69,0.08095061
   6580.5,51.6419,87.528,87.528,2.6597,0.076804444
   6581.0,51.5513,87.556,87.556,2.657,0.07261751
   6581.5,51.3577,87.5815,87.5815,2.6688,0.06796382
   6582.0,51.2964,87.6593,87.6593,2.6849,0.065521754
   6582.5,51.6419,87.9157,87.9157,2.6936,0.065358475
   6583.0,51.7452,88.3625,88.3625,2.6813,0.06537075
   6583.5,51.7452,88.8402,88.8402,2.6695,0.065360144
   6584.0,52.0636,89.1921,89.1921,2.66,0.065955006
   6584.5,52.0636,89.3429,89.3429,2.6692,0.06671294
   6585.0,52.382,89.3055,89.3055,2.6713,0.067553654
   6585.5,52.382,89.1464,89.1464,2.6654,0.06876335
   6586.0,52.3479,88.9134,88.9134,2.6452,0.06997493
   6586.5,52.1846,88.6625,88.6625,2.6116,0.06956871
   6587.0,52.0213,88.459,88.459,2.6053,0.067203805
   6587.5,51.4411,88.3351,88.3351,2.6034,0.06466669
   6588.0,51.1686,88.2611,88.2611,2.6439,0.06344846
   6588.5,50.861,88.1932,88.1932,2.6531,0.06446888
   6589.0,50.7744,88.151,88.151,2.6837,0.066340834
   6589.5,50.9922,88.1606,88.1606,2.6845,0.06696753
   6590.0,51.1235,88.2055,88.2055,2.681,0.06688974
   6590.5,51.2168,88.2545,88.2545,2.653,0.066793226
   6591.0,51.2969,88.2554,88.2554,2.6313,0.06668611
   6591.5,51.4372,88.1887,88.1887,2.6255,0.06651306
   6592.0,51.522,88.0984,88.0984,2.6308,0.06603571
